TLANAME,CRASHROAD,CRASHDIST,CRASHDIRN,INTSN,SIDEROAD,CRASHID,CRASHDATE,CRASHDOW,CRASHTIME,MVMT,VEHICLES,CAUSES,OBJECTSSTRUCK,ROADCURVE,ROADWET,LIGHT,WTHRa,JUNCTYPE,TRAFCTRL,ROADMARK,SPDLIM,CRASHFATALCNT,CRASHSEVCNT,CRASHMINCNT,PERSAGE1,PERSAGE2,EASTING,NORTHING
Ashburton District,SMALLBONE DRIVE,160,W, ,SH 77,201400089,18/04/2014,Fri,1235,BB,CN1C,111A 123A ,,E,W,O ,L , ,N,L,50,1,2,2,,,1498786,5138298
Ashburton District,SOMERTON ROAD,, ,I,THOMPSONS TRACK,201400126,31/05/2014,Sat,1555,HA,CN1C,321A 335A ,,R,D,B ,F ,X,S,C,100,3,1,1,,,1512852,5154761
Ashburton District,THOMPSONS TRACK,1500,W, ,PANNETTS ROAD,201416524,07/07/2014,Mon,905,CB,TW1,135A 802 ,F,R,I,ON,F , ,N,C,100,0,1,0,,,1506860,5155095
Ashburton District,THOMPSONS TRACK,400,W, ,RAILWAY TERRACE EAST,201445841,29/07/2014,Tue,2145,DA,CS1,111A 131A ,P,M,D,DN,F , , ,C,100,0,0,0,,,1520686,5154365
Ashburton District,THOMPSONS TRACK,100,E, ,SH 77,201437993,12/05/2014,Mon,2020,EA,VE1C,386A ,M,R,D,DN,F , ,N,C,100,0,0,0,,,1490771,5156485
Ashburton District,THOMPSONS TRACK,1300,E, ,TRAMWAY ROAD,201446515,12/09/2014,Fri,1,DA,CW1,101A 410A ,FS,E,D,DN,F , , ,C,100,0,0,0,,,1483173,5156363
Ashburton District,THOMPSONS TRACK,500,E, ,URRALL ROAD,201434967,14/01/2014,Tue,2000,CC,CE1,101A 129A ,V,R,D,DN,F , ,N,C,100,0,0,0,,,1499586,5155697
Ashburton District,TINWALD WESTERFIELD MAYFI,, ,I,FRASERS ROAD N,201441786,19/08/2014,Tue,1845,HA,TS24,302A ,,E,D,DN,F ,M,G,C,100,0,0,0,,,1485650,5145661
Ashburton District,TINWALD WESTERFIELD MAYFI,, ,I,SHEATES ROAD,201415165,24/08/2014,Sun,1145,DA,CE1,111A 131A 404A ,P,M,D,O ,F ,M,G,C,100,0,0,1,,,1488583,5145307
Ashburton District,TREVORS ROAD,, ,I,EALING MONTALTO ROAD,201415587,27/08/2014,Wed,820,HA,VW14,301B 363B 902 ,,R,D,B ,F ,X,S,C,100,0,0,2,,,1468132,5131412
Ashburton District,TREVORS ROAD,120,S, ,NELSON ST,201418654,20/11/2014,Thu,840,PC,CE1E,308A 371A 929 ,,R,D,BF,F ,D,N,C,50,0,0,1,10,,1500594,5137107
Ashburton District,ULUNDI ROAD,300,W, ,BAKER ROAD,201450012,18/12/2014,Thu,745,CA,CW1,112A 130A 813 ,F,R,D,DN,F , , ,N,100,0,0,0,,,1518715,5154886
Ashburton District,VICTORIA ST,50,W, ,CASS ST,201445246,05/09/2014,Fri,1640,MO,CE1C,402A 403A 423A ,M,R,D,O ,F , , ,C,50,0,0,0,,,1499781,5138051
Ashburton District,WAKANUI BEACH ROAD,60,N, ,SEASIDE ROAD,201450575,26/12/2014,Fri,2100,DA,VS1,103A 111A 131A ,,S,D,TN,F , , ,C,100,0,0,0,,,1508633,5125224
Ashburton District,WAKANUI ROAD,510,S, ,MILTON ROAD,201416429,07/07/2014,Mon,1439,AC,4N1O,153A 159A ,,R,D,B ,F , , ,C,100,0,1,1,,,1502567,5135827
Ashburton District,WAKANUI SCHOOL ROAD,500,W, ,RIVER ROAD,201418082,06/09/2014,Sat,1400,MO,4W1CE,371A ,Q,R,D,OF,F , ,N,N,100,0,0,1,45,,1502372,5128899
Ashburton District,WALNUT AVENUE,20,W, ,EAST ST,201446316,19/09/2014,Fri,930,EO,TN1,686A ,X,R,D,BF,F , ,G,C,50,0,0,0,,,1500135,5138663
Ashburton District,WALNUT AVENUE,, ,I,EAST ST,201413220,24/05/2014,Sat,910,HA,4S14,302A 375A ,,R,D,B ,F ,R,G,C,50,0,0,1,,,1500165,5138638
Ashburton District,WALNUT AVENUE,200,N, ,SH 1S,201414205,26/07/2014,Sat,1210,FD,CS1C,132A 358A ,,R,D,B ,F , ,N,P,50,0,0,2,,,1499957,5138853
Ashburton District,WALNUT AVENUE,80,W, ,WEST ST,201439921,20/06/2014,Fri,910,FD,4E1C,358A 385A ,,R,D,BF,F , ,N,C,50,0,0,0,,,1500039,5138765
Ashburton District,WILLS ST,, ,I,CASS ST,201440012,30/06/2014,Mon,1450,HA,4E1C,302B ,,R,D,BF,F ,X,G,C,50,0,0,0,,,1499856,5138060
Ashburton District,WILSONS ROAD,50,N, ,WAKANUI SCHOOL ROAD,201448111,28/11/2014,Fri,939,DB,CS1,131A 802 901 ,,E,I,O ,H , , ,C,100,0,0,0,,,1504276,5129614
Ashburton District,WINCHMORE SCHOOL ROAD,1160,N, ,SH 77,201415815,14/09/2014,Sun,2300,CA,CN1,130A ,P,R,D,DN,F , , ,N,100,0,1,0,,,1497544,5147130
Ashburton District,WINSLOW ROAD,400,W, ,SWAMP ROAD,201418714,08/11/2014,Sat,2130,CB,CE1,103A 112A 139A 402A ,EX,R,D,DN,F , , ,N,100,0,0,1,,,1484575,5130657
Ashburton District,WINSLOW ROAD,550,W, ,SWAMP ROAD,201417168,23/11/2014,Sun,1308,CC,CE1,112A 130A ,F,R,D,B ,F , , ,N,100,0,0,1,,,1484429,5130625
Ashburton District,1S/401/0.485,15,N, ,DUNFORD ST,201431793,18/01/2014,Sat,214,CB,CS1,130A 412A ,P,R,D,DO,F ,T,S,P,70,0,0,0,,,1521680,5155078
