TLANAME,CRASHDATE,CRASHDOW,CRASHTIME,MVMT,VEHICLES,CAUSES,OBJECTSSTRUCK,ROADCURVE,ROADWET,LIGHT,WTHRa,JUNCTYPE,TRAFCTRL,ROADMARK,SPDLIM,CRASHFATALCNT,CRASHSEVCNT,CRASHMINCNT,EASTING,NORTHING
Auckland,30/01/2014,Thu,2134,EA,CE1V,129A 358A ,MT,R,D,DO,F , , ,C,50,0,0,1,1758746,5916406
Auckland,05/11/2014,Wed,849,CB,CS1C4,129A 504A ,QM,R,D,BF,F ,T,S,C,50,0,0,2,1758698,5916369
Auckland,06/06/2014,Fri,2316,HA,CE1V,322B ,,R,D,DO,F ,X,T,C,50,0,0,3,1759075,5916659
Auckland,07/04/2014,Mon,1940,EA,CW1C,129A 358A ,KM,R,D,DO,F , , ,C,50,0,0,0,1758748,5916408
Auckland,04/10/2014,Sat,617,DC,CN2,103A 112A ,GI,R,D,TO,F ,T,T,R,50,0,0,0,1759181,5916738
Auckland,29/10/2014,Wed,1900,EA,CE1C,386A ,M,R,D,O ,F ,T,N,C,50,0,0,0,1758856,5916491
Auckland,25/04/2014,Fri,924,JA,CE1C,322B ,,R,W,BF,F ,T,T,C,50,0,0,0,1759221,5916770
Auckland,11/04/2014,Fri,910,JA,CW1C,301B 375B ,,R,D,B ,F ,T,S,C,50,0,0,0,1759108,5916684
Auckland,17/06/2014,Tue,1005,FE,CE1C,331A ,,R,W,B ,L ,T,T,C,50,0,0,0,1759570,5917047
Auckland,30/06/2014,Mon,1750,LB,CS1C,303B 375B ,,E,W,DO,L ,T,G,C,50,0,0,0,1770246,5910811
Auckland,27/06/2014,Fri,930,EE,CE1C,374B ,M,R,W,BF,F , ,N,N,50,0,0,0,1757179,5919817
Auckland,07/03/2014,Fri,945,HA,CN1C,302A 375A ,,R,D,BF,F ,R,G,R,50,0,0,1,1773190,5896431
Auckland,05/07/2014,Sat,1804,JA,CS2C,302B 375B ,,E,D,DO,F ,R,G,R,50,0,0,0,1773194,5896445
Auckland,17/04/2014,Thu,914,MA,VS1C,373B ,,R,W,O ,F ,T,N,C,50,0,0,0,1773408,5895951
Auckland,19/02/2014,Wed,815,HA,CW2CC,302A 181C ,,E,D,O ,F ,R,G,R,50,0,0,0,1773196,5896437
Auckland,29/04/2014,Tue,1745,MC,CS1V,372B 801 ,,E,W,TO,L , , ,C,50,0,0,0,1767063,5901954
Auckland,02/12/2014,Tue,1851,MO,CS1C,371A ,M,R,D,BF,F , ,N,C,50,0,0,0,1767127,5901834
Auckland,27/09/2014,Sat,400,EA,CW1C,129A ,M,R,D,DO,F , ,N,N,50,0,0,0,1755861,5915636
Auckland,15/03/2014,Sat,1205,EA,CW1C,129A ,M,R,W,OF,L , ,N,C,50,0,0,0,1756396,5915501
Auckland,31/07/2014,Thu,800,BA,CE1C,129A 363A 902 ,Q,R,D,BF,F , ,N,N,50,0,0,1,1756637,5929566
Auckland,10/10/2014,Fri,2312,EC,CW1CCC,103A 129A 359A ,M,E,D,DO,F , , ,C,50,0,0,0,1756560,5929523
Auckland,02/06/2014,Mon,145,CB,CN1,130A ,F,R, ,DO,  , ,N,N,50,0,0,0,1753380,5917649
Auckland,08/10/2014,Wed,1530,MO,CS1C,330A 371A ,M,R,D,B ,F , , ,C,50,0,0,0,1753212,5917451
Auckland,14/08/2014,Thu,830,EA,CE1C,129A ,M,R,W,OF,H , ,N,N,50,0,0,0,1770692,5898787
Auckland,18/02/2014,Tue,1305,DA,CE1V,111A 131A ,M,E,D,BF,F ,T,G,C,50,0,0,0,1763668,5915267
Auckland,03/10/2014,Fri,2230,JO,CS1C,302A ,,R,W,DN,L ,T,G,C,50,0,0,1,1762485,5915595
Auckland,23/08/2014,Sat,1740,KB,CW1C,302B ,,R,D,TF,F ,X,G,C,50,0,0,0,1762336,5915639
Auckland,05/05/2014,Mon,1540,JA,4E1C,308B 375B 927 ,,R,W,O ,L ,D,N,R,50,0,0,0,1763483,5915365
Auckland,09/06/2014,Mon,1555,DC,CW1,131A 427A ,PX,E,W,O ,H , , ,C,50,0,0,0,1763213,5915504
Auckland,09/10/2014,Thu,2120,KB,CW1C,197A 308B 375B 929 ,,R,D,DO,F ,D, ,C,50,0,0,0,1761784,5915800
Auckland,03/12/2014,Wed,435,FA,CW1C,431A 431B ,,E,D,DO,F ,T,N,C,50,0,0,0,1763091,5915533
Auckland,10/10/2014,Fri,911,DA,CS1,130A 501A ,T,M,D,O ,F , , ,C,50,0,0,0,1763034,5915516
Auckland,04/08/2014,Mon,1300,MO,TW1,371A ,P,R,D,B ,F , , ,P,50,0,0,0,1762298,5915650
Auckland,10/06/2014,Tue,930,LB,CS1CV,135B 303B 375B ,,R,W,O ,F ,T,G,C,50,0,0,2,1760464,5906694
Auckland,03/04/2014,Thu,800,KB,CN1C,301B 375B ,,E,D,B ,F ,T,S,C,50,0,0,0,1760573,5906538
Auckland,25/08/2014,Mon,502,DA,CN1,111A 131A 517A ,F,E,D,DO,F ,T,S,R,50,0,0,0,1760573,5906538
Auckland,15/06/2014,Sun,1445,GD,CS1C4,181A 331A 402A 181C 331C ,F,R,D,B ,F ,T,N,C,50,0,0,0,1760628,5906477
Auckland,01/05/2014,Thu,830,GA,CN1C,181A 331A 929 ,,R,D,B ,F ,D,N,C,50,0,0,0,1760584,5906108
Auckland,19/06/2014,Thu,835,MO,CE1C,333A ,,R,D,BF,F , ,N,C,50,0,0,0,1765862,5919120
Auckland,09/06/2014,Mon,1215,FE,CW1C,181A ,,R,W,OF,L ,M,T,C,50,0,0,0,1765838,5919111
Auckland,11/11/2014,Tue,1316,MO,CS1C,371A ,M,R,D,B ,F , , ,C,50,0,0,0,1765961,5919160
Auckland,29/11/2014,Sat,500,CC,4W1,130A 410A ,H,R, ,DO,L , ,N,C,50,0,0,0,1764072,5909814
Auckland,24/09/2014,Wed,1230,FA,TE1C,181A ,,R,D,B ,F , ,N,C,50,0,0,0,1764013,5909777
Auckland,13/04/2014,Sun,1700,DA,CW1V,103A 111A 131A ,FJM,S,D,B ,F , , ,C,50,0,0,0,1763833,5909692
Auckland,05/04/2014,Sat,1950,DA,CW1,111A 131A ,F,S,D,DO,F , , ,C,50,0,0,0,1763839,5909684
Auckland,26/08/2014,Tue,835,MA,VN14C,373B ,M,R,D,B ,F , , ,C,50,0,0,0,1763839,5909684
Auckland,04/04/2014,Fri,1730,MO,CE1C,386A ,M,R,D,B ,F , ,N,C,50,0,0,0,1760115,5914981
Auckland,20/10/2014,Mon,1345,MO,CE1C,371A 423A ,,R,D,B ,F , , ,P,50,0,0,0,1768986,5881018
Auckland,27/11/2014,Thu,2238,DA,CW1,136A 631A ,K,E,D,DO,F ,R,G,R,50,0,0,0,1768934,5881018
Auckland,25/09/2014,Thu,1734,AC,CN1C,101A 372A ,,E,D,O ,F ,T,G,R,50,0,0,0,1761721,5906519
Auckland,28/03/2014,Fri,751,FB,CN1C,181A ,,E,D,BF,F ,T,G,N,50,0,0,0,1761708,5906528
Auckland,09/09/2014,Tue,730,FE,TS1C,181A ,,R,D,OF,F ,M,T,R,50,0,0,0,1761749,5906566
Auckland,02/12/2014,Tue,1600,AA,4N1C,372A ,,R,D,B ,F , , ,C,50,0,0,0,1762257,5907048
Auckland,11/07/2014,Fri,2240,FE,CN1C,181A 330A ,,R,D,DO,F ,X,T,N,50,0,0,0,1762271,5907061
Auckland,05/01/2014,Sun,1110,LB,CS1C,303B 353B ,,R,D,OF,F ,X,T,C,50,0,0,0,1762271,5907061
Auckland,04/04/2014,Fri,1400,LB,CS1C,303B 375B ,,R,D,B ,F ,X,T,C,50,0,1,0,1762271,5907061
Auckland,10/10/2014,Fri,2330,FE,CN1C,331A ,,R,D,DO,F ,X,T,C,50,0,0,1,1762271,5907061
